img_id,category,question,answer,mode,label,answer_type
synpic43984,abnormality,what abnormality is seen in the image,arteriovenous malformation avm,train,0,OPEN
synpic38930,abnormality,what is the primary abnormality in this image,ectopic pregnancy,train,1,OPEN
synpic52143,abnormality,what is the primary abnormality in this image,bone tumor/ chordoma,train,2,OPEN
synpic20934,abnormality,what is the primary abnormality in this image,burst fracture,train,3,OPEN
synpic19141,abnormality,what is the primary abnormality in this image,triplanar fracture of the distal tibia,train,4,OPEN
synpic25502,abnormality,what is most alarming about this x-ray,salter-harris fractures salter and harris,train,5,OPEN
synpic38317,abnormality,what is the primary abnormality in this image,persistent left svc,train,6,OPEN
synpic22829,abnormality,what is most alarming about this ct scan,circumaortic left renal vein,train,7,OPEN
synpic39477,abnormality,what is the primary abnormality in this image,epidermoid tumor,train,8,OPEN
synpic54866,abnormality,what is the primary abnormality in this image,splenic artery aneurysm,train,9,OPEN
synpic60053,abnormality,what is most alarming about this x-ray,congenital pulmonary vein stenosis,train,10,OPEN
synpic28004,abnormality,what is most alarming about this ct scan,mature cystic teratoma,train,11,OPEN
synpic51949,abnormality,what is the primary abnormality in this image,hyperdense middle cerebral artery sign,train,12,OPEN
synpic45041,abnormality,what abnormality is seen in the image,segmental omental infarct,train,13,OPEN
synpic13026,abnormality,what is abnormal in the ct scan,esophageal b-cell lymphoma,train,14,OPEN
synpic52613,abnormality,what abnormality is seen in the image,ankylosing spondylitis,train,15,OPEN
synpic21981,abnormality,what is the primary abnormality in this image,plantar fibromatosis,train,16,OPEN
synpic53380,abnormality,what is most alarming about this mri,hydranencephaly,train,17,OPEN
synpic21144,abnormality,what abnormality is seen in the image,invasive ductal carcinoma,train,18,OPEN
synpic20556,abnormality,what is the primary abnormality in this image,sarcoidosis,train,19,OPEN
synpic39156,abnormality,what is the primary abnormality in this image,septo-optic dysplasia demorsier syndrome,train,20,OPEN
synpic41586,abnormality,what is abnormal in the ct scan,situs inversus totalis,train,21,OPEN
synpic36892,abnormality,what abnormality is seen in the image,sialolithiasis obstructing sialolith,train,22,OPEN
synpic20868,abnormality,what is most alarming about this ct scan,passive hepatic congestion,train,23,OPEN
synpic27646,abnormality,what is the primary abnormality in this image,non-small cell lung cancer,train,24,OPEN
synpic21181,abnormality,what is abnormal in the mammograph,gynecomastia,train,25,OPEN
synpic19981,abnormality,what is the primary abnormality in this image,adenocarcinoma of the esophagus,train,26,OPEN
synpic54237,abnormality,what is most alarming about this mri,developmental venous anomaly,train,27,OPEN
synpic33704,abnormality,what abnormality is seen in the image,cystic hygroma turner's syndrome,train,28,OPEN
synpic43008,abnormality,what abnormality is seen in the image,spine epidural abscess,train,29,OPEN
synpic23493,abnormality,what is abnormal in the mri,imaging in traumatic brain injury,train,30,OPEN
synpic33886,abnormality,what abnormality is seen in the image,hilar cholangiocarcinoma klatskin tumor,train,31,OPEN
synpic26174,abnormality,what is abnormal in the ct scan,diverticulitis,train,32,OPEN
synpic27913,abnormality,what is the primary abnormality in this image,arnold-chiari malformations,train,33,OPEN
synpic55224,abnormality,what is the primary abnormality in this image,greater occipital nerve entrapment,train,34,OPEN
synpic58999,abnormality,what is abnormal in the mri,arachnoid cyst,train,35,OPEN
