img_id,category,question,answer,mode,label,answer_type
synpic58306,plane,what plane was used in this mri,axial,train,0,OPEN
synpic37107,plane,what image plane is this,axial,train,0,OPEN
synpic27027,plane,in which plane is the ct scan displayed,axial,train,0,OPEN
synpic55176,plane,what is the plane of the ct scan,axial,train,0,OPEN
synpic20741,plane,what plane is this film,axial,train,0,OPEN
synpic50802,plane,what plane is demonstrated,axial,train,0,OPEN
synpic34768,plane,which plane is this mri taken in,axial,train,0,OPEN
synpic57280,plane,what plane is this mri in,axial,train,0,OPEN
synpic19829,plane,which plane is this mri taken in,axial,train,0,OPEN
synpic18362,plane,what plane is demonstrated,axial,train,0,OPEN
synpic21387,plane,what plane is the image acquired in,axial,train,0,OPEN
synpic41503,plane,which plane is the image shown in,axial,test,0,OPEN
synpic45661,plane,in what plane is this image taken,axial,train,0,OPEN
synpic55263,plane,what image plane is this,axial,train,0,OPEN
synpic27246,plane,what plane was used in this ct scan,axial,train,0,OPEN
synpic59382,plane,what is the plane of the image,axial,train,0,OPEN
synpic55114,plane,what plane is this,axial,train,0,OPEN
synpic22011,plane,which plane is this ct scan taken in,axial,train,0,OPEN
synpic23070,plane,what plane is seen,axial,val,0,OPEN
synpic31438,plane,what is the plane of the image,axial,train,0,OPEN
synpic39026,plane,what is the plane of this mri,axial,train,0,OPEN
synpic34124,plane,in what plane is this image oriented,axial,train,0,OPEN
synpic19204,plane,which plane is the image shown in,axial,train,0,OPEN
synpic41019,plane,which plane is this mri taken in,axial,train,0,OPEN
synpic48754,plane,which plane is the image shown in,axial,train,0,OPEN
synpic25424,plane,which plane is the image shown in,axial,train,0,OPEN
synpic53961,plane,which plane is the image taken,axial,train,0,OPEN
synpic49950,plane,in what plane is this mri,axial,train,0,OPEN
synpic49970,plane,which plane is this image taken,axial,val,0,OPEN
synpic42212,plane,which plane is this image taken,axial,train,0,OPEN
synpic54969,plane,in what plane is this image oriented,axial,train,0,OPEN
synpic51867,plane,which plane is this image taken,axial,train,0,OPEN
synpic10588,plane,in what plane is this image taken,axial,train,0,OPEN
synpic21910,plane,what plane was used in this mri,axial,train,0,OPEN
synpic45877,plane,which plane is this image in,axial,train,0,OPEN
synpic27238,plane,what plane is this,axial,train,0,OPEN
synpic52158,plane,what plane is demonstrated,axial,train,0,OPEN
synpic28983,plane,what plane is this ct scan in,axial,train,0,OPEN
synpic31506,plane,in what plane is this image taken,axial,train,0,OPEN
synpic19599,plane,which plane is this image taken,axial,train,0,OPEN
synpic17212,plane,what plane is demonstrated,axial,train,0,OPEN
synpic46655,plane,in what plane is this image taken,axial,train,0,OPEN
synpic33926,plane,what is the plane of the image,axial,val,0,OPEN
synpic34859,plane,which plane is this image taken,axial,train,0,OPEN
synpic43623,plane,what plane is this film,axial,train,0,OPEN
synpic32067,plane,what plane was used,axial,test,0,OPEN
synpic57262,plane,in which plane is the ct scan displayed,axial,train,0,OPEN
synpic50648,plane,what image plane is this,axial,train,0,OPEN
synpic17091,plane,what is the plane,axial,train,0,OPEN
synpic36070,plane,what imaging plane is depicted here,axial,train,0,OPEN
synpic20071,plane,what plane is demonstrated,axial,train,0,OPEN
synpic37275,plane,which plane is the image shown in,axial,train,0,OPEN
synpic41873,plane,what plane is this film,axial,train,0,OPEN
synpic37430,plane,what plane is the image acquired in,axial,train,0,OPEN
synpic16122,plane,in what plane is this ct scan,axial,train,0,OPEN
synpic48444,plane,in what plane is this mri,axial,train,0,OPEN
synpic53959,plane,which plane is the image taken,axial,train,0,OPEN
synpic22755,plane,what is the plane,axial,val,0,OPEN
synpic45635,plane,what image plane is this,axial,train,0,OPEN
synpic36125,plane,what plane is the image acquired in,axial,train,0,OPEN
synpic33574,plane,what plane is demonstrated,axial,train,0,OPEN
synpic60659,plane,in what plane is this ct scan captured,axial,train,0,OPEN
synpic28303,plane,what is the plane of the ct scan,axial,train,0,OPEN
synpic41323,plane,what imaging plane is depicted here,axial,train,0,OPEN
synpic52810,plane,in what plane is this image oriented,axial,train,0,OPEN
synpic42261,plane,what plane was used,axial,train,0,OPEN
synpic58789,plane,in what plane is this image oriented,axial,train,0,OPEN
synpic57077,plane,what plane was used,axial,train,0,OPEN
synpic16539,plane,in what plane is this image oriented,axial,train,0,OPEN
synpic55648,plane,in what plane is this image taken,axial,train,0,OPEN
synpic28056,plane,what imaging plane is depicted here,axial,train,0,OPEN
synpic23102,plane,what plane is demonstrated,axial,train,0,OPEN
synpic24311,plane,which plane is the image taken,axial,train,0,OPEN
synpic22783,plane,which plane is the image shown in,axial,train,0,OPEN
synpic16429,plane,in what plane is this mri,axial,train,0,OPEN
synpic59198,plane,what plane is the image acquired in,axial,train,0,OPEN
synpic21041,plane,which plane is this image taken,axial,val,0,OPEN
synpic50132,plane,in what plane is this ct scan,axial,test,0,OPEN
synpic59548,plane,what is the plane of the image,axial,val,0,OPEN
synpic52266,plane,what is the plane of the mri,axial,train,0,OPEN
synpic56870,plane,what imaging plane is depicted here,axial,val,0,OPEN
synpic55391,plane,what plane is seen,axial,train,0,OPEN
synpic38409,plane,what imaging plane is depicted here,axial,train,0,OPEN
synpic23548,plane,in what plane is this mri captured,axial,train,0,OPEN
synpic57642,plane,what plane is this film,axial,val,0,OPEN
synpic58095,plane,what plane was used,axial,val,0,OPEN
synpic49805,plane,what is the plane of the mri,axial,train,0,OPEN
synpic54815,plane,in what plane is this mri taken,axial,train,0,OPEN
synpic41639,plane,what plane was used,axial,train,0,OPEN
synpic41294,plane,in what plane is this mri captured,axial,train,0,OPEN
synpic17895,plane,what plane is the image acquired in,axial,train,0,OPEN
synpic56011,plane,what is the plane of this mri,axial,train,0,OPEN
synpic39876,plane,what plane is the image acquired in,axial,train,0,OPEN
