img_id,category,question,answer,mode
synpic43984,abnormality,what abnormality is seen in the image,arteriovenous malformation avm,train
synpic38930,abnormality,what is the primary abnormality in this image,ectopic pregnancy,train
synpic52143,abnormality,what is the primary abnormality in this image,bone tumor/ chordoma,train
synpic20934,abnormality,what is the primary abnormality in this image,burst fracture,train
synpic19141,abnormality,what is the primary abnormality in this image,triplanar fracture of the distal tibia,train
synpic25502,abnormality,what is most alarming about this x-ray,salter-harris fractures salter and harris,train
synpic38317,abnormality,what is the primary abnormality in this image,persistent left svc,train
synpic22829,abnormality,what is most alarming about this ct scan,circumaortic left renal vein,train
synpic39477,abnormality,what is the primary abnormality in this image,epidermoid tumor,train
synpic54866,abnormality,what is the primary abnormality in this image,splenic artery aneurysm,train
synpic60053,abnormality,what is most alarming about this x-ray,congenital pulmonary vein stenosis,train
synpic28004,abnormality,what is most alarming about this ct scan,mature cystic teratoma,train
synpic51949,abnormality,what is the primary abnormality in this image,hyperdense middle cerebral artery sign,train
synpic45041,abnormality,what abnormality is seen in the image,segmental omental infarct,train
synpic13026,abnormality,what is abnormal in the ct scan,esophageal b-cell lymphoma,train
synpic52613,abnormality,what abnormality is seen in the image,ankylosing spondylitis,train
synpic21981,abnormality,what is the primary abnormality in this image,plantar fibromatosis,train
synpic53380,abnormality,what is most alarming about this mri,hydranencephaly,train
synpic21144,abnormality,what abnormality is seen in the image,invasive ductal carcinoma,train
synpic20556,abnormality,what is the primary abnormality in this image,sarcoidosis,train
synpic39156,abnormality,what is the primary abnormality in this image,septo-optic dysplasia demorsier syndrome,train
synpic41586,abnormality,what is abnormal in the ct scan,situs inversus totalis,train
synpic36892,abnormality,what abnormality is seen in the image,sialolithiasis obstructing sialolith,train
synpic20868,abnormality,what is most alarming about this ct scan,passive hepatic congestion,train
synpic27646,abnormality,what is the primary abnormality in this image,non-small cell lung cancer,train
synpic21181,abnormality,what is abnormal in the mammograph,gynecomastia,train
synpic19981,abnormality,what is the primary abnormality in this image,adenocarcinoma of the esophagus,train
synpic54237,abnormality,what is most alarming about this mri,developmental venous anomaly,train
synpic33704,abnormality,what abnormality is seen in the image,cystic hygroma turner's syndrome,train
synpic43008,abnormality,what abnormality is seen in the image,spine epidural abscess,train
synpic23493,abnormality,what is abnormal in the mri,imaging in traumatic brain injury,train
synpic33886,abnormality,what abnormality is seen in the image,hilar cholangiocarcinoma klatskin tumor,train
synpic26174,abnormality,what is abnormal in the ct scan,diverticulitis,train
synpic27913,abnormality,what is the primary abnormality in this image,arnold-chiari malformations,train
synpic55224,abnormality,what is the primary abnormality in this image,greater occipital nerve entrapment,train
synpic58999,abnormality,what is abnormal in the mri,arachnoid cyst,train
synpic47538,abnormality,what is abnormal in the ct scan,adrenal myelolipoma,train
synpic45740,abnormality,what is the primary abnormality in this image,renal angiomyolipoma,train
synpic21427,abnormality,what is abnormal in the mammograph,infiltrating ductal carcinoma,train
synpic22081,abnormality,what abnormality is seen in the image,achondroplasia,train
synpic58842,abnormality,what is abnormal in the ct scan,acute dural venous sinus thrombosis dvst secondary temporal lobe venous hemorrhagic infarction,train
synpic38409,abnormality,what is the primary abnormality in this image,right sided aortic arch with aberrant left subclavian artery,train
synpic36205,abnormality,what is the primary abnormality in this image,odontogenic keratocyst of the mandible,train
synpic24510,abnormality,what abnormality is seen in the image,osteopenia osteoporosis,train
synpic46206,abnormality,what is the primary abnormality in this image,non-hodgkin's lymphoma - b-cell lymphoma,train
synpic26884,abnormality,what abnormality is seen in the image,lemierre's syndrome,train
synpic59324,abnormality,what abnormality is seen in the image,fat embolism,train
synpic57262,abnormality,what is most alarming about this ct scan,skull fracture from cell phone,train
synpic28983,abnormality,what is abnormal in the ct scan,abpa allergic bronchopulmonary aspergillosis,train
synpic24141,abnormality,what abnormality is seen in the image,importance of recognizing vascular anatomy in chemoembolization,train
synpic48293,abnormality,what is most alarming about this ct scan,benign orbital calcifications,train
synpic41684,abnormality,what abnormality is seen in the image,atypical teratoid/rhabdoid tumor,train
synpic36984,abnormality,what is most alarming about this mri,dural sinus thrombosis,train
synpic16795,abnormality,what is most alarming about this nuclear medicine image,subacute painless thyroiditis with transient hyperthyroidism,train
synpic48977,abnormality,what is the primary abnormality in this image,arachnoid cyst with extension through third ventricle into lateral ventricle,train
synpic60337,abnormality,what is most alarming about this ct scan,wilms tumor stage iv,train
synpic58921,abnormality,what is most alarming about this mri,arachnoid cyst associated spontaneous subdural hematoma,train
synpic60196,abnormality,what is most alarming about this mri,dermoid cyst,train
synpic51217,abnormality,what is abnormal in the mri,brain abscess central nervous system,train
synpic30823,abnormality,what abnormality is seen in the image,adrenal adenoma,train
synpic49520,abnormality,what is most alarming about this mri,neurofibromatosis type 1 with hypothalmic and chiasmatic glioma,train
synpic45585,abnormality,what abnormality is seen in the image,astrocytoma grading and subtypes,train
synpic45427,abnormality,what is the primary abnormality in this image,nasopharyngeal carcinoma,train
synpic43558,abnormality,what is abnormal in the ct scan,acute appendicitis,train
synpic56917,abnormality,what is most alarming about this x-ray,congenital pseudoarthrosis of the clavicle,train
synpic19078,abnormality,what is abnormal in the mri,ependymoma,train
synpic43538,abnormality,what is abnormal in the ct scan,pericardial effusion following open heart surgery,train
synpic30698,abnormality,what is abnormal in the ct scan,glioblastoma multiforme,train
synpic18156,abnormality,what abnormality is seen in the image,gray matter heterotopia focal type,train
synpic59842,abnormality,what abnormality is seen in the image,orbital retrobulbar dermoid cyst,train
synpic36953,abnormality,what is most alarming about this mri,cerebral infarction,train
synpic55500,abnormality,what abnormality is seen in the image,otosclerosis,train
synpic52980,abnormality,what is the primary abnormality in this image,osteoid osteoma,train
synpic49060,abnormality,what is the primary abnormality in this image,craniopharyngioma,train
synpic51873,abnormality,what is most alarming about this x-ray,squamous cell lung cancer,train
synpic27214,abnormality,what is the primary abnormality in this image,colon cancer,train
synpic48148,abnormality,what is most alarming about this ct scan,portal venous thrombosis,train
synpic41269,abnormality,what abnormality is seen in the image,plantaris tendon tear,train
synpic31686,abnormality,what is the primary abnormality in this image,diverticulitis,train
synpic33358,abnormality,what is abnormal in the ct scan,patients a and b acute retroperitoneal hematoma,train
synpic27731,abnormality,what is the primary abnormality in this image,gastroschisis,train
synpic30202,abnormality,what is abnormal in the ct scan,crohn's disease,train
synpic22257,abnormality,what abnormality is seen in the image,choroid plexus cyst,train
synpic54969,abnormality,what is the primary abnormality in this image,guillain-barre syndrome,train
synpic27999,abnormality,what is abnormal in the ct scan,liver hemangioma,train
synpic3098,abnormality,what is the primary abnormality in this image,spontaneous thoracic esophageal perforation boerhaave's syndrome,train
